Campus,Sex,Area ID,Area,Career,Academic Degree,Students
CU,Hombre,2,Artes y humanidades,Estudios latinoamericanos,Licenciatura,194
CU,Hombre,2,Artes y humanidades,Historia,Doctorado,43
CU,Hombre,2,Artes y humanidades,Historia,Maestría,25
CU,Hombre,2,Artes y humanidades,Filosofía de la ciencia,Doctorado,43
CU,Hombre,2,Artes y humanidades,Lengua y literatura moderna (alemanas),Licenciatura,33
CU,Hombre,2,Artes y humanidades,Lingüística hispánica,Maestría,3
CU,Hombre,2,Artes y humanidades,Lengua y literatura moderna (alemanas),Licenciatura,32
CU,Hombre,2,Artes y humanidades,Lingüística aplicada,Maestría,8
CU,Hombre,2,Artes y humanidades,Lengua y literaturas modernas (letras portuguesas),Licenciatura,16
CU,Hombre,2,Artes y humanidades,Literatura dramática y teatro,Licenciatura,205
CU,Hombre,2,Artes y humanidades,Música,Doctorado,22
CU,Hombre,2,Artes y humanidades,Literatura dramática y teatro,Licenciatura,204
CU,Hombre,2,Artes y humanidades,Música,Maestría,30
CU,Hombre,2,Artes y humanidades,Filosofía,Doctorado,66
CU,Hombre,2,Artes y humanidades,Música,Maestría,28
CU,Hombre,2,Artes y humanidades,Historia del arte,Doctorado,38
CU,Hombre,2,Artes y humanidades,Historia del arte,Licenciatura,36
CU,Hombre,2,Artes y humanidades,Literatura dramática y teatro,Licenciatura,197
CU,Hombre,2,Artes y humanidades,Arquitectura de interiores,Especialidad,13
CU,Hombre,2,Artes y humanidades,Filosofía,Maestría,26
CU,Hombre,2,Artes y humanidades,Lengua y literatura moderna (italianas),Licenciatura,34
CU,Hombre,2,Artes y humanidades,Cine documental,Maestría,5
CU,Hombre,2,Artes y humanidades,Lingüística,Doctorado,12
CU,Hombre,2,Artes y humanidades,Artes visuales,Maestría,62
CU,Hombre,2,Artes y humanidades,Filosofía,Doctorado,64
CU,Hombre,2,Artes y humanidades,Artes visuales,Maestría,69
CU,Hombre,2,Artes y humanidades,Filosofía,Maestría,58
CU,Hombre,2,Artes y humanidades,Historia del arte,Doctorado,48
CU,Hombre,2,Artes y humanidades,Letras,Doctorado,57
CU,Hombre,2,Artes y humanidades,Lengua y literatura hispánicas,Licenciatura,671
CU,Hombre,2,Artes y humanidades,Estudios latinoamericanos,Doctorado,64
CU,Hombre,2,Artes y humanidades,Lengua y literatura moderna (inglesas),Licenciatura,132
CU,Hombre,2,Artes y humanidades,Geohistoria,Licenciatura,45
CU,Hombre,2,Artes y humanidades,Arte y diseño,Doctorado,36
CU,Hombre,2,Artes y humanidades,Lengua y literaturas modernas (letras portuguesas),Licenciatura,13
CU,Hombre,2,Artes y humanidades,Lingüística hispánica,Maestría,7
CU,Hombre,2,Artes y humanidades,Diseño y comunicación visual,Maestría,35
CU,Hombre,2,Artes y humanidades,Historia del arte,Especialidad,4
CU,Hombre,2,Artes y humanidades,Música y tecnología artistica,Licenciatura,51
CU,Hombre,2,Artes y humanidades,Estudios méxico-estados unidos,Maestría,3
CU,Hombre,2,Artes y humanidades,Filosofía de la ciencia,Doctorado,48
CU,Hombre,2,Artes y humanidades,Literatura dramática y teatro,Licenciatura,219
CU,Hombre,2,Artes y humanidades,Estudios mesoamericanos,Maestría,20
CU,Hombre,2,Artes y humanidades,Lengua y literatura moderna (italianas),Licenciatura,39
CU,Hombre,2,Artes y humanidades,Estudios latinoamericanos,Doctorado,68
CU,Hombre,2,Artes y humanidades,Filosofía de la ciencia,Maestría,34
CU,Hombre,2,Artes y humanidades,Diseño y comunicación visual,Maestría,18
CU,Hombre,2,Artes y humanidades,Música,Doctorado,31
CU,Hombre,2,Artes y humanidades,Lengua y literaturas modernas (inglesas),Licenciatura,123
CU,Hombre,2,Artes y humanidades,Historia,Doctorado,66
CU,Hombre,2,Artes y humanidades,Lingüística aplicada,Maestría,2
CU,Hombre,2,Artes y humanidades,Lengua y literatura moderna (francesas),Licenciatura,41
CU,Hombre,2,Artes y humanidades,Letras,Maestría,38
CU,Hombre,2,Artes y humanidades,Artes visuales,Maestría,66
CU,Hombre,2,Artes y humanidades,Filosofía,Licenciatura,992
CU,Hombre,2,Artes y humanidades,Historia del arte,Especialidad,6
CU,Hombre,2,Artes y humanidades,Letras clásicas,Licenciatura,167
CU,Hombre,2,Artes y humanidades,Historia del arte,Maestría,40
CU,Hombre,2,Artes y humanidades,Lengua y literatura hispánicas,Licenciatura,641
CU,Hombre,2,Artes y humanidades,Enseñanza de español como lengua extranjera,Especialidad,14
CU,Hombre,2,Artes y humanidades,Lingüística,Doctorado,15
CU,Hombre,3,Ciencias sociales y derecho,Antropología,Doctorado,22
CU,Hombre,3,Ciencias sociales y derecho,Antropología,Licenciatura,258
CU,Hombre,3,Ciencias sociales y derecho,Ciencias políticas y administración pública,Licenciatura,1646
CU,Hombre,3,Ciencias sociales y derecho,Sociología,Licenciatura,874
CU,Hombre,3,Ciencias sociales y derecho,Trabajo social,Maestría,30
CU,Hombre,3,Ciencias sociales y derecho,Relaciones internacionales,Licenciatura,863
CU,Hombre,3,Ciencias sociales y derecho,Bibliotecología y estudios de la información,Doctorado,22
CU,Hombre,3,Ciencias sociales y derecho,Trabajo social,Maestría,17
CU,Hombre,3,Ciencias sociales y derecho,Demografía social,Maestría,2
CU,Hombre,3,Ciencias sociales y derecho,Política criminal,Maestría,6
CU,Hombre,3,Ciencias sociales y derecho,Análisis político,Especialidad,7
CU,Hombre,3,Ciencias sociales y derecho,Estudios políticos y sociales,Maestría,34
CU,Hombre,3,Ciencias sociales y derecho,Ciencias políticas y administración pública,Licenciatura,1743
CU,Hombre,3,Ciencias sociales y derecho,Derecho energético,Especialidad,50
CU,Hombre,3,Ciencias sociales y derecho,Gobierno y asuntos públicos,Maestría,22
CU,Hombre,3,Ciencias sociales y derecho,Trabajo social,Licenciatura,672
CU,Hombre,3,Ciencias sociales y derecho,Psicología,Maestría,58
CU,Hombre,3,Ciencias sociales y derecho,Derecho,Especialidad,827
CU,Hombre,3,Ciencias sociales y derecho,Psicología,Maestría,80
CU,Hombre,3,Ciencias sociales y derecho,Antropología,Licenciatura,153
CU,Hombre,3,Ciencias sociales y derecho,Gobierno y asuntos públicos,Maestría,23
CU,Hombre,3,Ciencias sociales y derecho,Trabajo social en modelos de intervención con mujeres,Especialidad,4
CU,Hombre,3,Ciencias sociales y derecho,Ciencias de la comunicación,Licenciatura,2205
