Institution ID,Institution,Campus ID,Campus,Sex ID,Sex,Area ID,Area,Career ID,Career,Academic Degree ID,Academic Degree,Students
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,86e1fe0546a80464666c4875d0fcfe1144d9984540e7e43cdfd64a68dd104888,Maestría en docencia para la educación media superior: español,13,Maestría,11
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,880b1501ee9361f695b55aa2ec227efebf7a63becbf321357cc2c323426c1309,Maestría en docencia para la educación media superior: química,13,Maestría,8
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,8d86c3fc38521c273a4a765785763dc013f88d94679596d50602100e17dd68f9,Licenciatura en pedagogía,11,Licenciatura,640
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,90434be85739f259014efea7f77af229e7519c6c6a7e424dd5057c4f4f2e0c41,Doctorado en pedagogía,14,Doctorado,52
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,916534ec65616333f957a23d127801e418113909f14cdbb75675d11e9d23dc64,Licenciatura en pedagogía,11,Licenciatura,638
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,96ccf5f2f75842c1654d6e143eadc4e57c573a2477422917c20f6abf77260e2c,Maestría en docencia para la educación media superior: psicología,13,Maestría,13
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,98da453e486e8e73dad3a793c4011e22dc947ce91c079818fd6eb025465e60f7,Maestría en docencia para la educación media superior: psicología,13,Maestría,12
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,9a484b50fa0ca6e1d061c6d823ea48e4b866c19941947cff2720748334fb46fb,Maestría en docencia en artes y diseño,13,Maestría,8
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,9e72ec2e5a47be053fcb0f67a694c9ecebd16ed18a2a6c0e0108d70104561c84,Maestría en docencia para la educación media superior,13,Maestría,43
604,Universidad Nacional Autónoma De México,60400002,Universidad Nacional Autónoma De México - Ciudad Universitaria,1,Hombre,1,Educación,a527eabe67eee70830aaebdbe9e0a33f7f5ed136303121d7d0a30f8c8eed7ae8,Maestría en pedagogía,13,Maestría,35
